ProductServicesID|UID|Code|Name|Description|Price|Cost|Category|IsDelete|ForSale|Qty|MRP|ManufacturerID|ServiceDuration|TrackInventory|LastModifyDateTime|IsFavourite|CreatedOn|CreatedBy|LastModifyBy|SyncWithGodam|SyncDateTime|SubCategoryID|StyleCode|Color|Size|ISBN|ItemType|ValidityInDaysForGiftVoucher|ValidityInDaysForPackage|IsDefineItemForPackage|IsUniqueNo|UniqueLabel|MigrationID|EnableBatchTracking|StockKeepingUOM|PurchaseUOM|SalesUOM|IsRepack|ERPID|IsMRPTaxInclusive|IsSerialEnable|ItemGroupCode|IsTaxEnableForPackage|HSNCode|UseGlobalGSTTaxMaster|AllowDecimalInQty|NewProductServicesID|IsRechargable|ComputeAsAdditionalCharges|PrintGroupType
1031356|25457|8907233000055|Mee Mee Comb-2|2 Pcs|115.00|0.00|26297|false|true|0.00|0.00|(null)|0|true|2017-02-22 10:04:20|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65401|||||1|(null)|(null)|(null)|false||956524|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|39260000|false|true|(null)|(null)|(null)|(null)
1031355|25457|8906068164116|mast dut pan||39.00|34.82|26297|false|true|0.00|39.00|(null)|(null)|true|2017-05-02 10:11:59|(null)|2017-05-02 10:11:59|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1024963|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|16032900|false|true|(null)|(null)|(null)|(null)
1031354|25457|8907233108423|mee mee baby brush||99.00|72.27|26297|false|true|0.00|99.00|(null)|(null)|true|2017-05-12 17:21:36|(null)|2017-05-12 17:21:36|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029529|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031353|25457|8907233097642|mee mee wipe||99.00|0.00|26297|false|true|0.00|99.00|(null)|(null)|true|2017-03-21 17:28:12|(null)|2017-03-21 17:28:12|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||991399|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|48184010|false|true|(null)|(null)|(null)|(null)
1031352|25457|8907233081092|mee mee orange padte||149.00|108.78|26297|false|true|0.00|149.00|(null)|(null)|true|2017-05-12 17:14:40|(null)|2017-05-12 17:14:40|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029521|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|17049030|false|true|(null)|(null)|(null)|(null)
1031351|25457|8907233079204|mee mee brush||199.00|145.26|26297|false|true|0.00|199.00|(null)|(null)|true|2017-05-12 16:50:22|(null)|2017-05-12 16:50:22|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029509|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031350|25457|8907233077620|Mee Mee Soft Comb-2||199.00|145.27|26297|false|true|0.00|199.00|(null)|(null)|true|2017-05-12 17:31:11|false|2017-02-22 10:04:20|15718|15721|false|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||956525|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39260000|false|true|(null)|(null)|(null)|(null)
1031349|25457|8907233077552|mee mee nail cliper||179.00|130.68|26297|false|true|0.00|179.00|(null)|(null)|true|2017-05-12 17:31:08|(null)|2017-05-12 17:04:57|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029517|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|82140000|false|true|(null)|(null)|(null)|(null)
1031348|25457|8907233162975|mee mee teether||99.00|72.27|26297|false|true|0.00|99.00|(null)|(null)|true|2017-05-12 16:53:41|(null)|2017-05-12 16:53:41|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029511|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031347|25457|8907233157964|mee mee tooth brush||59.00|43.07|26297|false|true|0.00|59.00|(null)|(null)|true|2017-05-12 17:27:40|(null)|2017-05-12 17:27:40|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029533|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031346|25457|8907233115124|mee mee cooton bud||59.00|43.07|26297|false|true|0.00|59.00|(null)|(null)|true|2017-05-12 17:08:07|(null)|2017-05-12 17:08:07|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029520|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|52030000|false|true|(null)|(null)|(null)|(null)
1031345|25457|8907233113458|Mee mee toothbrush @1||49.00|0.00|26297|false|true|0.00|49.00|(null)|(null)|true|2017-02-25 20:08:32|(null)|2017-02-25 20:08:32|15719|15719|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||964887|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031344|25457|8907233113441|Mee Mee Toothbrush-1|1 Pcs|79.00|35.76|26297|false|true|0.00|0.00|(null)|0|true|2017-11-03 11:18:52|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65401|||||1|(null)|(null)|(null)|false||956523|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031343|25457|8907233111867|meme bottle||149.00|0.00|26297|false|true|0.00|149.00|(null)|(null)|true|2017-05-31 21:41:07|(null)|2017-05-31 21:41:07|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1034236|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39233000|false|true|(null)|(null)|(null)|(null)
1031342|25457|8907233180962|mee mee tongue cleaner||149.00|108.77|26297|false|true|0.00|149.00|(null)|(null)|true|2017-05-12 17:31:09|(null)|2017-05-12 17:30:22|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029534|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031341|25457|8907233180955|mee mee tongue cleaner||149.00|108.77|26297|false|true|0.00|149.00|(null)|(null)|true|2017-05-12 17:31:09|(null)|2017-05-12 17:26:18|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029532|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031340|25457|8907233162982|mee mee teether||99.00|72.27|26297|false|true|0.00|99.00|(null)|(null)|true|2017-05-12 16:52:03|(null)|2017-05-12 16:52:03|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029510|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33062100|false|true|(null)|(null)|(null)|(null)
1031339|25457|8901012157046|johnsons buds@1|(null)|72.00|55.18|26297|false|true|0.00|72.00|(null)|0|true|2018-03-14 15:14:20|(null)|2017-03-20 14:39:56|15721|639993|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false|(null)|990885|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|false|52010000|false|false|(null)|(null)|(null)|0
1031338|25457|8901012119105|johnson||40.00|35.71|26297|false|true|0.00|40.00|(null)|(null)|true|2017-03-18 15:59:20|(null)|2017-03-18 15:59:20|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||990418|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|34010000|false|true|(null)|(null)|(null)|(null)
1031337|25457|8901012116197|jonsons baby toe wash||75.00|66.96|26297|false|true|0.00|75.00|(null)|(null)|true|2017-04-30 14:03:20|(null)|2017-04-30 14:03:20|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1024549|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|34010000|false|true|(null)|(null)|(null)|(null)
1031336|25457|6457457|gxfh||0.00|0.00|26297|true|true|0.00|0.00|(null)|0|true|2017-06-23 17:48:40|(null)|2017-06-23 17:43:31|15722|15722|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1046073|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|(null)|(null)|true|(null)|(null)|(null)|(null)
1031335|25457|4902430744461|pampers||749.00|617.92|26297|false|true|0.00|749.00|(null)|(null)|true|2017-10-11 14:40:01|(null)|2017-04-30 21:32:06|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1024618|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|48184010|false|true|(null)|(null)|(null)|(null)
1031334|25457|4902430682473|pampers||130.00|0.00|26297|false|true|0.00|130.00|(null)|(null)|true|2017-05-12 10:56:01|(null)|2017-05-12 10:56:01|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029478|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|48184010|false|true|(null)|(null)|(null)|(null)
1031367|25457|8904146720452|mee mee bottle||249.00|181.17|26297|false|true|0.00|249.00|(null)|(null)|true|2017-05-12 17:31:08|(null)|2017-05-12 17:00:50|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029515|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39233000|false|true|(null)|(null)|(null)|(null)
1031368|25457|8904146761530|mee mee nappy cream||279.00|203.67|26297|false|true|0.00|279.00|(null)|(null)|true|2017-05-12 17:16:25|(null)|2017-05-12 17:16:25|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029522|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33049930|false|true|(null)|(null)|(null)|(null)
1031369|25457|8904146789718|mee mee||95.00|0.00|26297|false|true|0.00|95.00|(null)|(null)|true|2017-05-02 20:56:08|(null)|2017-05-02 20:56:08|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1025122|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|61110000|false|true|(null)|(null)|(null)|(null)
1031370|25457|8904146799021|mee mee bottle||199.00|145.27|26297|false|true|0.00|199.00|(null)|(null)|true|2017-05-12 16:58:41|(null)|2017-05-12 16:58:41|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029513|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39233000|false|true|(null)|(null)|(null)|(null)
1031371|25457|8906008201314|bonne tender||20.00|17.86|26297|false|true|0.00|20.00|(null)|(null)|true|2017-04-15 20:53:40|(null)|2017-04-15 20:53:40|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1020102|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|22029090|false|true|(null)|(null)|(null)|(null)
1031372|25457|8906008201680|bottle cover||95.00|0.00|26297|false|true|0.00|95.00|(null)|(null)|true|2017-04-16 17:11:19|(null)|2017-04-16 17:11:19|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1020300|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39233000|false|true|(null)|(null)|(null)|(null)
1031373|25457|8901719240393|parle mango bite||38.84|38.84|26297|false|true|0.00|38.84|(null)|0|true|2018-03-12 14:13:37|(null)|2017-04-25 19:21:19|15718|639993|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1023335|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|false|17049030|false|true|(null)|(null)|(null)|0
1031374|25457|8903622010124|wipes||99.00|88.39|26297|false|true|0.00|99.00|(null)|(null)|true|2017-04-28 09:58:19|(null)|2017-04-28 09:58:19|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1024020|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|48184010|false|true|(null)|(null)|(null)|(null)
1031375|25457|8904109449819|pt shishu massage oil @100ml||85.00|75.59|26297|false|true|0.00|85.00|(null)|(null)|true|2017-04-13 09:55:43|(null)|2017-03-03 16:06:07|15719|15719|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||977037|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|30030000|false|true|(null)|(null)|(null)|(null)
1031376|25457|8904109449833|pt baby hair shampoo@100ml||80.00|71.43|26297|false|true|0.00|80.00|(null)|(null)|true|2017-06-18 16:56:37|(null)|2017-03-03 16:06:07|15719|15719|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||977036|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33050000|false|true|(null)|(null)|(null)|(null)
1031377|25457|8904109449857|pt shishu wash gel @100ml||75.00|66.70|26297|false|true|0.00|75.00|(null)|(null)|true|2017-04-13 09:55:43|(null)|2017-03-03 16:06:08|15719|15719|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||977039|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|34010000|false|true|(null)|(null)|(null)|(null)
1031378|25457|8904109449901|shishu care||500.00|0.00|26297|false|true|0.00|500.00|(null)|(null)|true|2017-03-18 13:30:46|(null)|2017-03-18 13:30:46|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||990347|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|61110000|false|true|(null)|(null)|(null)|(null)
1031379|25457|8901138830908|himalya soothing baby wipes||75.00|54.86|26297|false|true|0.00|75.00|(null)|(null)|true|2017-12-12 20:01:34|(null)|2017-05-08 18:37:30|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1028341|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|48184000|false|true|(null)|(null)|(null)|(null)
1031380|25457|8901138831240|himalaya baby diapers||365.00|243.60|26297|false|true|0.00|365.00|(null)|(null)|true|2018-02-04 17:18:23|(null)|2017-03-21 17:28:12|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||991400|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|48184000|false|true|(null)|(null)|(null)|(null)
1031405|25457|8902430661515|ambipure lavender @275ml|275ml|285.00|254.46|26297|false|true|0.00|0.00|(null)|0|true|2017-02-22 10:04:20|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957087|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031406|25457|8902430662420|ambipure rose @275ml|275ml|285.00|254.46|26297|false|true|0.00|0.00|(null)|0|true|2017-02-22 10:04:20|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957086|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031407|25457|8901396224402|air wickfresh water @245ml||150.00|108.78|26297|false|true|0.00|150.00|(null)|(null)|true|2017-05-22 17:34:10|false|2017-02-22 10:04:20|15718|15718|false|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||957079|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031408|25457|8901396224501|Air wick air freshner @1||150.00|111.36|26297|false|true|0.00|150.00|(null)|(null)|true|2017-10-18 12:45:01|(null)|2017-02-27 15:13:58|15719|15719|(null)|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||965420|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031409|25457|8901396224600|air wick rose @245ml||108.86|111.36|26297|false|true|0.00|108.86|0|0|true|2017-10-18 12:45:01|false|2017-02-22 10:04:20|15718|637515|false|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||957076|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|false|33074900|false|true|(null)|(null)|(null)|(null)
1031410|25457|8901396225201|AIR WICK JASMINE BLOOM||70.00|61.30|26297|false|true|0.00|70.00|(null)|(null)|true|2017-05-22 17:20:33|(null)|2017-05-22 17:20:33|15718|15718|(null)|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||1032546|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031411|25457|8901396554204|air wick citrus @245ml|245ml|150.00|133.93|26297|false|true|0.00|0.00|(null)|0|true|2017-02-22 10:04:20|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957078|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031412|25457|8901396180005|hrp flushmatic||91.79|91.79|26297|false|true|0.00|91.79|0|0|true|2017-08-25 14:12:50|(null)|2017-04-13 18:52:09|15721|639381|(null)|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||1018055|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|false|33074900|false|true|(null)|(null)|(null)|(null)
1031413|25457|8901396221500|AIR WICK MORNING ROSE DEW|(null)|65.00|56.72|26297|false|true|0.00|65.00|(null)|0|true|2018-02-20 16:47:31|(null)|2017-05-22 17:24:33|15718|637515|(null)|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false|(null)|1032551|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|false|33074900|false|true|(null)|(null)|(null)|0
1031414|25457|8901396221609|AIR WICK CITRUS SPLASH||70.00|61.09|26297|false|true|0.00|70.00|(null)|(null)|true|2018-02-20 14:32:51|(null)|2017-05-22 17:23:13|15718|15718|(null)|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||1032549|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031415|25457|8901396221708|AIR  WICK LAVENDER MEADOWS||70.00|61.09|26297|false|true|0.00|70.00|(null)|(null)|true|2018-02-20 14:32:51|(null)|2017-05-22 17:22:06|15718|15718|(null)|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||1032548|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031416|25457|8901396224204|air wick @245ml||133.93|108.86|26297|false|true|0.00|133.93|0|0|true|2017-08-30 13:34:41|(null)|2017-03-16 13:14:07|15719|639381|(null)|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||988925|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|false|33074900|false|true|(null)|(null)|(null)|(null)
1031417|25457|8901396224303|air wick sandalwood @245ml|245ml|150.00|108.78|26297|false|true|0.00|0.00|(null)|0|true|2017-05-22 17:57:10|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957077|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031418|25457|8901207503566|Odonil mystic rose @1||167.57|158.84|26297|false|true|0.00|167.57|(null)|0|true|2018-01-18 14:34:47|false|2017-02-22 10:04:20|15718|15722|false|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||959320|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031419|25457|8901277012463|premium jasmine @125g|125g|125.00|83.43|26297|false|true|0.00|0.00|(null)|0|true|2017-12-22 11:22:45|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957072|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031420|25457|8901277012470|premium lavender @125g|125g|125.00|84.25|26297|false|true|0.00|0.00|(null)|0|true|2017-11-21 16:40:31|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957073|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031421|25457|8901277012487|premium sandal @125g|125g|125.00|111.61|26297|false|true|0.00|0.00|(null)|0|true|2017-02-22 10:04:20|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957070|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031422|25457|8901277012494|premium rajnigandha @125g|125g|125.00|111.23|26297|false|true|0.00|0.00|(null)|0|true|2018-03-13 16:35:29|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957069|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031423|25457|8901277012616|premium rose @125g|125g|125.00|83.43|26297|false|true|0.00|0.00|(null)|0|true|2017-12-22 11:22:45|false|2017-02-22 10:04:20|15718|(null)|false|(null)|65404|||||1|(null)|(null)|(null)|false||957071|(null)|39287|39287|39287|(null)|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031424|25457|8901207503122|Odonil lavender @1||55.85|49.31|26297|false|true|0.00|55.85|(null)|0|true|2018-03-07 21:39:06|false|2017-02-22 10:04:20|15718|15722|false|(null)|65404|(null)|(null)|(null)|(null)|1|0|0|false|false||959326|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33074900|false|true|(null)|(null)|(null)|(null)
1031381|25457|8901138831745|himalya prickly heat baby powder||40.00|29.33|26297|false|true|0.00|40.00|(null)|(null)|true|2017-05-08 18:42:04|(null)|2017-05-08 18:21:41|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1028333|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33049120|false|true|(null)|(null)|(null)|(null)
1031382|25457|8901138836672|himalya gentle baby soap||99.54|99.54|26297|false|true|0.00|99.54|0|0|true|2017-07-30 14:41:13|(null)|2017-05-08 18:32:36|15721|639381|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1028339|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|false|34010000|false|true|(null)|(null)|(null)|(null)
1031383|25457|8901207006944|Dabur lal tail @500ml||330.00|294.64|26297|false|true|0.00|330.00|(null)|(null)|true|2017-02-28 20:09:14|(null)|2017-02-28 20:09:14|15719|15719|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||967560|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|33059011|false|true|(null)|(null)|(null)|(null)
