ProductServicesID,OrigName,Name
2793451,15 pink carnations(fnp agra),Carnations
98295,15 Red Roses Bouquet,Red Roses
2769520,15 red roses(fnpagra),Red Roses
2795171,15 red&yellow roses(fnp agra),Red Roses
1311252,1500 BLK 00071,1500 Blk 00071
2908162,16 PINK & WHITE CARNATIONS(FNP AGRA),Carnations
2848071,18 red & 3 white roses(fnp agra),White Roses
2957901,1kg Black Forest Cake(FNP BALUGANJ),Blackforest Cake
3172448,1kg Black Forest Strawberry Cake(FNP BALUGANJ),Strawberry Cake
2837172,1kg Blackforest Cake Eggless,Blackforest Cake
2777429,1kg Butter scotch cake (fnp agra L),Butter Scotch Cake
3020091,1kg butterscotch cake,Butter Scotch Cake
2759543,1kg butterscotch cake (fnpagra),Butter Scotch Cake
3224105,1kg Butterscotch Fruit Cake(FNP BALUGANJ),Butter Scotch Cake
2968805,1kg Chocolate Cake(FNP BALUGANJ),Chocolate Cake
2960468,1kg Chocolate Truffle Cake(FNP BALUGANJ),Truffle Cake
3052698,1kg Eggless Blackforest Cake,Blackforest Cake
2945784,1kg Eggless Pineapple Cake,Pineapple Cake
2993585,1kg Fresh Fruits cake,Fresh Fruit Cake
3033938,1Kg Fresh Fruits cake,Fresh Fruit Cake
3073105,1kg Fruit Cake(FNP BALUGANJ),Fresh Fruit Cake
2719365,1kg Gulab Jamun,Gulab Jamun
3113318,1Kg Gulab Jamun,Gulab Jamun
2996113,1kg Heart Shape Chocolate Cake(BALUGANJ),Chocolate Cake
3219220,1kg Heart Shape Chocolate Truffle Cake(FNP BALUGANJ),Truffle Cake
3073104,1kg Heart Shape Pineapple Cake(FNP BALUGANJ),Pineapple Cake
3195150,1kg Kit Kat Chocolate Cake(FNP BALUGANJ),Kit Kat Chocolate Cake
2936093,1kg Photo Cake,Photo Cake
3015512,1Kg Pineapple cake,Pineapple Cake
3271366,1kg Rasgulla,Rasgulla
2851243,1kg rasgulla tin,Rasgulla
2851250,1kg rasgulla tin,Rasgulla
2996114,1kg Square Shape Chocolate Cake(FNP BALUGANJ),Chocolate Cake
3267780,1kg Superman Cake(FNP BALUGANJ),Superman Cake
3020093,1kg truffle cake,Truffle Cake
2864978,1kg truffle cake Eggless (fnp agra),Truffle Cake
2775742,1kg Vanilla Cake,Vanilla Cake
3091630,1kg Vanilla Cake(FNP BALUGANJ),Vanilla Cake
3317375,2 Cadbury Fruit N Nut Chocolates 38gms with gift wraping,Cadbury Fruit Ane Nut
2756282,2 Cadbury Silk Chocolates (60gm each) ( fnpagra),Cadbury Dairy Milk Silk
2627508,2 Cadbury Silk Chocolates 60gms with gift wraping,Cadbury Dairy Milk Silk
98232,2 Days Magnificent Celebration,2 Days Magnificent Celebration
2850270,2 kg fresh fruit(fnp agra),Fresh Fruit Cake
3046333,2 KG PINEAPPLE CAKE(2 TIER),Pineapple Cake
2919993,2 Kg square eggless black forest cake(fnp agra),Blackforest Cake
1310942,2 LAYER BAMBOO,Bamboo
2777507,2 Layer Bamboo,Bamboo
99694,2 layer bamboo PLT2 laA001,Bamboo
2785210,2 layer bamboo with vase(fnp agra),Bamboo
99684,2 layer bamboo_PLT2 laA001,Bamboo
2771810,2 roses(fnp agra),Roses
2851151,2 White asiatic lilies and 6 Purple Orchid(fnp agra),Lily And Orchids
2852890,2 White asiatic lilies and 6 Purple Orchids,Lily And Orchids
2908534,2 YELLOW A.LILLY& 6 ORANGE CARNATIONS,Lily And Carnation
2783240,20 Pink Roses  3 Pink Asiatic Lily700,Lily And Rose
2907991,20 Pink Roses 6 Purple Orchids,Roses And Orchids
2809771,20 pink roses glass vase(fnpagra),Pink Roses
2756621,20 pink roses n 3 pink lillies (fnpagra),Lily And Rose
2855762,20 Red carnations IN BASKET,Carnations
98515,20 Red Roses,Red Roses
98516,20 Red Roses Bouquet,Red Roses
2781666,20 Red Roses(fnp agra),Red Roses
2809742,20 Yellow Roses  3 Yellow Asiatic Lily  1 Square Glass Vase(fnp agra),Lily And Rose
2851731,20 yellow roses(fnp agra),Yellow Roses
2720400,25 mix roses,Roses
2847183,25 mix roses(fnp agra),Roses
2848130,25 Pink Roses (fnp delhi),Pink Roses
2856230,25 red carnations,Carnations
2815494,25 red roses(fnp agra),Red Roses
3250360,2kg blackforest cake,Blackforest Cake
3311314,2kg Rosy Barbie pineapple cake,Pineapple Cake
98234,3 Days Serenades,3 Days Serenades
98236,3 Days Valentine Love Everyday,3 Days Valentine Love Everyday
98237,3 Days Valentine Serenades,3 Days Valentine Serenades
1310943,3 LAYER BAMBOO,Bamboo
2987829,3 layer bamboo glass vase(fnp agra),Bamboo
99693,3 layer bamboo PLT3 laA001,Bamboo
2916947,3 Layer bamboo(fnp agra L,Bamboo
99685,3 layer bamboo_PLT3 laA001,Bamboo
1983636,3 Lotus Hanging AE5,3 Lotus Hanging Ae5
1983637,3 Lotus Hanging AE5,3 Lotus Hanging Ae5
2851150,3 teddy 2 dairy milk@10 2 fivstar@10 2 kitkat@21gm(fnp agra),3 Teddy 2 Dairy Milk@10 2 Fivstar@10 2 Kitkat@21Gm(Fnp Agra)
2753008,30 PINK CARNATION,Carnations
3261024,30 Red Party Balloons Packet(FNP BALUGANJ),Party Balloon
98910,30 Red Roses Bouquet,Red Roses
2809731,30 red roses(fnp agra),Red Roses
1311235,3000 BDY 01585,3000 Bdy 01585
1311303,3500 GWL 00039,3500 Gwl 00039
1310947,4 BARIED (CHOTI) BAMBOO,Bamboo
98239,4 Days Valentine day is not enough,4 Days Valentine Day Is Not Enough
3155168,4 Red Rose  3 Yellow Button Mum  2 Yellow Asiatic Lily  Daisy  1 Cylinder Glass Vase 4x4 Inches,4 Red Rose 3 Yellow Button Mum 2 Yellow Asiatic Lily Daisy 1 Cylinder Glass Vase 4X4 Inches
1310604,4 SPIRAL SHAPE BAMBOO,Bamboo
2851149,40 red roses glass vase(fnp agra),Red Roses
2815074,40 red roses(fnp agra),Red Roses
1311611,4500 BDY 01114,4500 Bdy 01114
1310563,4500 BLK 00145,4500 Blk 00145
1311244,4500 CON 00068,4500 Con 00068
1311310,4500 MSU 00061,4500 Msu 00061
1311312,4500 PRO 00001,4500 Pro 00001
1311489,499 XY-001M 08-15-POTM-ROTATING LED CUBE PHOTOFRAM,499 Xy-001M 08-15-Potm-Rotating Led Cube Photofram
3193770,5 Dairy Milk Chocolates 12gms each with gift wraping,Cadbury Dairy Milk
2751426,5 DAIRYMILK CHOCOLATES,Cadbury Dairy Milk
99465,5 Diya set 8.5x6.5 inches_GEG5 DIE001,Diya
2766868,5 kitkat chocolates,Kitkat
2844355,5 Kitkat Chocolates 12gms with gift wraping,Kitkat
2851322,5 red roes 5 gerberas and 5 glads(fnp agra),Red Roses
2872969,5 Red Rose  5 White Rose,Roses
2838183,5 Red Roses  4 Purple Orchids  2 Yellow Asiatic Lily(fnp agra),"Roses,Orchid And Lily"
1310573,5 STAR,5 Star
1310572,5 STAR 21.5G,5 Star
99362,5 Star Bakery Handmade Chocolates 100gm_CHC5 STE001,5 Star Bakery Handmade Chocolates
99363,5 Star Bakery Truffle Chocolates 100gm_CHC5 STE002,Truffle Cake
2945752,5 Star Chocolates 20gms with gift wraping,5 Star
2952183,5 white a.lilly white 10 red rose glass vase(fnp agra),Lily And Rose
2851152,500 gm soan papri(fnp agra),Sone Papdi
1311321,5000 BFD 00247,5000 Bfd 00247
1311847,5000 BMR 00029,5000 Bmr 00029
1311324,5000 BSR 00061,5000 Bsr 00061
2714828,500gm Eggless Truffle Cake,Truffle Cake
1311616,5500 ANN 00313,5500 Ann 00313
1311340,5500 BSN 00117,5500 Bsn 00117
1311342,5500 GWL 00060,5500 Gwl 00060
2902849,6 Dark Pink Carnations  2 White Asiatic Lily glass vase(fnp agra),Lily And Carnation
2855739,6 p.orchids 3 A.lilly 6 carnations,Lily And Carnation
2844299,6 Pink Roses Bunch,Pink Roses
2753027,6 pink roses(fnp agra),Pink Roses
2853575,6 purple orchid  2 White lilies 6 White Carnations,Orchid And Carnations
2790627,6 purple orchids(fnp agra),Orchids
2835638,6 red roses,Red Roses
2785313,6 red roses 6 dairy milk@13gm(fnp agra),Red Roses
2836282,6 red roses(fnp agra),Red Roses
2821469,6' teddy bear(fnp agra),Teddy
2848308,6 yellow roses(fnp agra),Yellow Roses
1311464,600 BDY 02279,600 Bdy 02279
1311877,6000 BDY 02279,6000 Bdy 02279
1311785,6000 BMR 00188,6000 Bmr 00188
1311352,6000 BSR 00174,6000 Bsr 00174
1311356,6000 BWF 00158,6000 Bwf 00158
1311358,6000 BWF 00173,6000 Bwf 00173
1311850,6000 CON 00164,6000 Con 00164
1311851,6000 WED 00254,6000 Wed 00254
1310562,6000 WED 00323,6000 Wed 00323
98240,7 Days Valentine Week full of Love,7 Days Valentine Week Full Of Love
2783404,7 pink gerbera glass vase(fnp agra),Glass Vase
2841227,7 purple orchids 20 pink roses(fnp agra),Orchids And Roses
2809683,7 red roses 6' teddy bounville chocolate 80gm(fnp agra),Red Roses
98241,700 Roses Love Special,Roses
1311361,7000 BBO 00024,7000 Bbo 00024
2723044,8 Endearing Pink Roses,Pink Roses
2786700,8 mix roses(fnp agra),Roses
2857039,8 pink & white asiatic lilly in vase,Lily
2951548,8 Pink Carnations  3 White Carnations(fnp agra),Carnations
2850137,8 pink carnations(fnp agra),Carnations
2770779,8 red roses(fnp agra),Red Roses
2729773,8 red& yellow roses n 4 yellow n 2 red lilies,Roses
2690875,8 Sundry Mix Roses,Roses
2847457,8 yellow aiatic lilly(fnp agra),Lily
2874293,9 Inch Teddy  bear,Teddy
1311372,9000 BBR 00101,9000 Bbr 00101
1311374,9000 BFD 00158,9000 Bfd 00158
1311375,9000 BFD 00279,9000 Bfd 00279
1311376,9000 BSR 00109,9000 Bsr 00109
1311377,9000 BWF 00070,9000 Bwf 00070
1311378,9000 BWF 00121,9000 Bwf 00121
1311620,9900 BDY 02200,9900 Bdy 02200
1311381,9900 GFD 00054,9900 Gfd 00054
1311501,999 14S-8068B 08-15-WHIRLPOOL GLITTER LED CANDLE,999 14S-8068B 08-15-Whirlpool Glitter Led Candle
3141420,A Basket Of Sweet Treat,A Basket Of Sweet Treat
98242,A Beautiful Arrangement for the One You Love,A Beautiful Arrangement For The One You Love
98969,A Big Hug,A Big Hug
98785,A BIG Hug N Love,A Big Hug N Love
98243,A Bowl of Happiness,A Bowl Of Happiness
98775,A Gracefull Gesture,A Gracefull Gesture
98244,A heartful of love,A Heartful Of Love
98343,A Innocent Heart,A Innocent Heart
3281365,A Lily,Lily
1654453,A Lily 10 Roll,Lily
98273,A Little Sunshine,A Little Sunshine
98274,A Lovely Giveaway,A Lovely Giveaway
98245,A Melodious Surprise,A Melodious Surprise
98246,A Musical Dream,A Musical Dream
98248,A True Friend,A True Friend
98384,A Warm Hug,A Warm Hug
3311030,A.F flowers arrangment,A.F Flowers Arrangment
1590115,A-001 Dotted Packing Material (Pack of 20) Blue,Invalid
1336836,A-001 Dotted Packing Material (Pack of 20) Pink,Invalid
1590116,A-001 Dotted Packing Material (Pack of 20) Red,Invalid
1336835,A-001 Dotted Packing Material (Pack of 20) White,Invalid
620969,A001-Dotted Packing material-Any two color,Invalid
1336838,A-002 Dotted Roll Pink,Invalid
1590112,A-002 Dotted Roll Red,Invalid
1336837,A-002 Dotted Roll White,Invalid
620970,A002-Dotted Roll-Any two color,Invalid
1311772,A-00BL METAL CANDLE HOLDER,A-00Bl Metal Candle Holder
98911,Abundance of Love,Abundance Of Love
98385,Abundance of Wishes,Abundance Of Wishes
98275,Accord Bloom,Accord Bloom
98249,Acoustic Beauty,Acoustic Beauty
620950,Acrylic Paper(Pack of 100),Invalid
1336289,Acrylic Paper(Pack of 100),Invalid
659198,Adenium,Adenium
98727,Adorable and Charming Peacock,Adorable And Charming Peacock
1590147,Af 169 Peony Purple,Af 169 Peony Purple
1310990,AF F 102,Af F 102
1311038,AF LILLY025,Lily
1310988,AF NF 117,Af Nf 117
98438,Affectionately Yours,Affectionately Yours
1336929,African Daisy Gvc-1251 Greenish White,African Daisy Gvc-1251 Greenish White
99521,Aglonema Green Plant_PLTAGLOE001,Aglonema Green Plant_Pltagloe001
99508,Ajwain Plant (Height Approx 9 Inches)_PLTAJWAE001,Ajwain Plant (Height Approx 9 Inches)_Pltajwae001
99387,Aliums Blue_FFLAliuA002,Aliums Blue_Fflaliua002
99388,Aliums Purple_FFLAliuA001,Aliums Purple_Fflaliua001
99366,All The Best White Chocolate Bar 200gms_CHCALL E001,All The Best White Chocolate Bar
98869,Alluring beauty,Alluring Beauty
98251,Alluring Surprise,Alluring Surprise
1777679,ALMOND,Almond
2935869,Almond Cookies 250 gms,Almond Cookies 250 Gms
1777693,Almond Rocks,Almond
99311,Almonds 100gms DRFAlmoA003,Almond
99303,Almonds 1kg DRFAlmoA001,Almond
99317,Almonds 250gms DRFAlmoA004,Almond
99307,Almonds 500gms DRFAlmoA005,Almond
99300,Almonds 50gms DRFAlmoA002,Almond
2944049,Almonds Cashewnut Cookies(FNP BALUGANJ),Almonds Cashewnut Cookies
2932781,Almonds Kesunut Cookies(FNP AGRA),Almonds Kesunut Cookies
99436,Alstroemeria Pink_FFLALSTE001,Alstroemeria
99442,Alstroemeria Yellow_FFLALSTE002,Alstroemeria
98783,Always and Forever,Always And Forever
98882,Always and Forever EX001,Always And Forever
98988,Always Forever,Always And Forever
98902,Always on my Mind,Always On My Mind
99102,Always Works,Always Works
3265703,Amazing Yellow Roses Bunch,Yellow Roses
98252,An Evening to Cherish,An Evening To Cherish
98253,An Everlasting Smile,An Everlasting Smile
99369,Anniversary Chocolate Bar 200gms_CHCANNIE001,Anniversary Chocolate Bar
1310967,ANTHURIUM,Anthurium
620416,Anthurium Green,Anthurium
620418,Anthurium Pink,Anthurium
620415,Anthurium Red,Anthurium
99399,Anthurium Red_FFLAnthA001,Anthurium
620417,Anthurium White,Anthurium
99401,Anthurium White_FFLAnthA002,Anthurium
98254,Appetizing Combo,Appetizing Combo
98344,Appetizing Festivity,Appetizing Festivity
2961595,Apple Pie(FNP BALUGANJ),Apple Pie
2964456,Apple Tart(FNP BALUGANJ),Apple Tart
99584,Archies Card GEGArchA001,Archies Card
99663,Arica Palm Leaves GEGAricA001,Arica Palm Leaves
2853523,arika,Arica Palm Leaves
98603,Aristomaria Orange_FFLArisA005,Aristomariai
98595,Aristomaria Pink_FFLArisA002,Aristomariai
99428,Aristomaria Red_FFLArisA001,Aristomariai
98602,Aristomaria White_FFLArisA004,Aristomariai
99430,Aristomaria Yellow_FFLArisA003,Aristomariai
223681,Art Paper Golden ( Pack of 25),Invalid
620951,Art Paper Golden ( Pack of 25),Invalid
223682,Art Paper Silver ( Pack of 25),Invalid
620952,Art Paper Silver ( Pack of 25),Invalid
2919185,ARTIFICIAL ARRANGEMENT,Artificial Arrangement
2919232,ARTIFICIAL ARRANGEMENT,Artificial Arrangement
2936203,Artificial Arrangements,Artificial Arrangement
99471,Artificial Bamboo Stic_GEGARTIE001,Artificial Bamboo
3286156,artificial bookey,Artificial Bookey
1336890,Artificial Bunch 1 Vk,Artificial Flower
1336904,Artificial Bunch 10 HS Red,Artificial Flower
1336903,Artificial Bunch 10 HS White,Artificial Flower
1336902,Artificial Bunch 11 HS,Artificial Flower
1336891,Artificial Bunch 2 Vk,Artificial Flower
1336889,Artificial Bunch 3 Vk,Artificial Flower
1336885,Artificial Bunch 4 Vk,Artificial Flower
1336887,Artificial Bunch 5 Vk,Artificial Flower
1336888,Artificial Bunch 8 BK,Artificial Flower
1336892,Artificial Bunch 9 BK,Artificial Flower
2986438,Artificial Flowers,Artificial Flower
3162564,Artificial flowers,Artificial Flower
453836,Artificial Flowers Arrangement,Artificial Flower
2814284,Artificial flowers(fnp agra L),Artificial Flower
223237,Artificial Rose Flower GB Cream Purple,Artificial Flower
620458,Artificial Rose Flower GB Cream Purple,Artificial Flower
223238,Artificial Rose Flower GB L.Purple,Artificial Flower
620459,Artificial Rose Flower GB L.Purple,Artificial Flower
99337,Artificial Rose Petals_CONARTIE001,Artificial Flower
99041,Asiatic Lilies,Lily
99412,Asiatic Lilies Orange_FFLAsiaA004,Lily
99411,Asiatic Lilies Peach_FFLAsiaA005,Lily
99418,Asiatic Lilies Pink_FFLAsiaA002,Lily
99414,Asiatic Lilies Red_FFLAsiaA006,Lily
2964399,Asiatic Lilies Standard,Lily
99415,Asiatic Lilies White_FFLAsiaA001,Lily
99417,Asiatic Lilies Yellow_FFLAsiaA003,Lily
2935184,Asiatic Lillys,Lily
2853305,asiatic lily,Lily
620421,Asiatic Lily  Orange,Lily
620422,Asiatic Lily  Pink,Lily
620419,Asiatic Lily  White,Lily
620420,Asiatic Lily  Yellow,Lily
1310964,ASITIC LILLY,Lily
1777684,Assorted Chocolates,Assorted Chocolates
1777689,Assorted Chocolates,Assorted Chocolates
1777694,Assorted Chocolates,Assorted Chocolates
99554,Assorted Chocolates 1kg GEGAssoA004,Assorted Chocolates
99551,Assorted Chocolates 200gms GEGAssoA001,Assorted Chocolates
99552,Assorted Chocolates 250gms GEGAssoA002,Assorted Chocolates
99553,Assorted Chocolates 500gms GEGAssoA003,Assorted Chocolates
620871,Atm Spray Clear,Atm Spray Clear
620872,Atm Spray Kobe Golden,Atm Spray Kobe Golden
1336854,Atm Spray Kobe Green,Atm Spray Kobe Green
620874,Atm Spray Kobe Orange,Atm Spray Kobe Orange
620875,Atm Spray Kobe Purple,Atm Spray Kobe Purple
621112,ATV- 01 Gift Items,Atv- 01 Gift Items
98880,Authentic Love 100 Roses,Roses
1336932,Autumn Daisy Gvq-1580 Dark Brown,Daisy
98296,Awe Inspiring Beauty,Awe Inspiring Beauty
1590139,Baby Bel Glittered on Stem  Pack of 5 Pcs Golden,Baby Bel Glittered On Stem Pack Of 5 Pcs Golden
98276,Baby Pink N Roses,Pink Roses
621038,Bakuli Stick  Pack of 5 Pink,Bakuli Stick
621041,Bakuli Stick  Pack of 5 White,Bakuli Stick
621042,Bakuli Stick  Pack of 5 Yellow,Bakuli Stick
621036,Bakuli Stick Pack of 5 Golden,Bakuli Stick
621037,Bakuli Stick Pack of 5 Orange,Bakuli Stick
621039,Bakuli Stick Pack of 5 Red,Bakuli Stick
1311217,BALL CANDLE 2 Golden,Ball Candle
1311106,BALL CANDLE 2 RED,Ball Candle
1311218,BALL CANDLE 2 Silver,Ball Candle
1311857,BALL CANDLE PINK,Ball Candle
1311819,BALL DRY,Ball Fruit Stick Pack
621043,Ball Fruit Stick Pack of 5 Golden,Ball Fruit Stick Pack
621044,Ball Fruit Stick Pack of 5 Orange,Ball Fruit Stick Pack
621045,Ball Fruit Stick Pack of 5 Pink,Ball Fruit Stick Pack
621049,Ball Fruit Stick Pack of 5 Yellow,Ball Fruit Stick Pack
2987491,Balloons,Party Balloon
620451,Bamboo 2 layer,Bamboo
620452,Bamboo 3 Layer,Bamboo
3330022,bamboo plant,Bamboo
620450,Bamboo spiral,Bamboo
99660,Bamboo Sticks GEGBambA001,Bamboo
3090022,Bamboo(agra),Bamboo
99299,Banana _1000_CAKBanaA002,Banana Cake
99254,Banana _2000_CAKBanaA003,Banana Cake
99286,Banana _500_CAKBanaA001,Banana Cake
2935871,Banana Oat Meal 1/2 KG,Banana Oat Meal
1777659,Banana Walnut,Banana Cake
1311818,BANKULI STICK,Bakuli Stick
620856,Barrel Big,Barrel
620858,Barrel Small,Barrel
99639,Base GEGBaseA001,Base Gegbasea001
99726,Basilur Assorted 32 Tea Bags_PSGBASIE001,Basilur Assorted 32 Tea Bags_Psgbasie001
1310595,BASKET 5,Invalid
99619,Basket 6 Inch GEGBaskA001,Invalid
1310596,BASKET 7,Invalid
99748,Basket 7.5x10.5 inches & height 12 inches_TRYBASKE002,Invalid
1310597,BASKET 9,Invalid
99747,Basket 9 and Height 12 inches_TRYBASKE004,Invalid
99618,Basket 9 Inch GEGBaskA002,Invalid
99745,Basket Cane 5 Inches Diameter_TRYBASKE003,Invalid
1591419,BB011-60 Clear  Glass Vase,Glass Vase
620809,BB090 Clear  Glass Vase,Glass Vase
1591412,BB321-2RZ Clear  Glass Vase,Glass Vase
620807,BB350 Clear  Glass Vase,Glass Vase
98387,Beautiful And Sweet exp,Beautiful And Sweet Exp
98277,Beautiful and Vivid,Beautiful And Vivid
98517,Beautiful Bouquet,Beautiful Bouquet
99052,Beautiful In Pink,Beautiful In Pink
3112612,Beautiful In Pink Standard,Beautiful In Pink Standard
98257,Beautiful Melodies,Beautiful Melodies
3077627,Beautiful Red Rose Hamper Eggless Standard,Red Roses
817617,Beautiful Red Rose Hamper Standard,Red Roses
98278,Beautiful Twenty,Beautiful Twenty
98260,Beauty  Taste and Music,Beauty Taste And Music
98205,Beauty In Fire,Beauty In Fire
98259,Beauty in Green,Beauty In Green
98728,Beauty In Thirty,Beauty In Thirty
98345,Beauty of Nature Basket,Beauty Of Nature Basket
99514,Begonia Red Plant (Height Approx 9 Inches)_PLTBEGOE001,Begonia Red Plant (Height Approx 9 Inches)_Pltbegoe001
1777617,BELGIUM CHOCLATE,Belgium Choclate
1777706,BELGIUM CHOCLATE,Belgium Choclate
1777743,BELGIUM CHOCLATE,Belgium Choclate
1590140,Bell Cup Glittered on Stem(Pack of 5 Pcs) Red,Bell Cup
1983601,Bell Cup with Leaves (5 Pc Pk),Bell Cup
98564,Besan Laddoo 1Kg CHCBesaA003,Besam Laddo
98566,Besan Laddoo 250gms CHCBesaA001,Besam Laddo
3077757,Besan Laddoo 500gms,Besam Laddo
98565,Besan Laddoo 500gms CHCBesaA002,Besam Laddo
98912,Best Buddy,Best Buddy Friendship
98507,Best Buddy Friendship,Best Buddy Friendship
98261,Best Friend,Best Buddy Friendship
98989,Best Greetings,Best Greetings
98439,Best Wishes,Best Wishes
98751,Best wishes arrangement,Best Wishes Arrangement
98898,Best wishes for you,Best Wishes For You
3334516,Bhaidooj Sweetness,Bhaidooj Sweetness
98686,bhaiya-bhabhi-rakhi GEGBHAIA001,Rakhi
1310565,BIG BONSAI,Bonsai
1311185,BIG FISH BOWL,Fish Bowl
1310501,BIG HANGING ORCHID,Hanging Orchid
98279,Big Hug,Big Hug
98846,Big Love,Big Love
1311262,BIG SAMADHAN 1,Big Samadhan 1
1311011,BIG SPIDER ORCHID,Orchids
1310623,BIG WOODEN BAREL,Big Wooden Barel
99695,Bikano Badam Lachha 200gms_PSGBIKAE001,Bikano Badam Lachha 200Gms_Psgbikae001
1311444,BIRD THERMACOL,Bird Thermacol
99404,Birds Of Paradise Orange_FFLBirdA001,Birds Of Paradise Orange_Fflbirda001
